Column1,Column2,Column3
-172,83,124.859
-172,84,112.726
-172,85,124.089
-172,86,108.56
-172,87,130.002
-172,88,134.426
-172,89,102.718
-172,90,71.848
-171,-90,264.098
-171,-89,210.948
-171,-88,166.469
-171,-87,105.738
-171,-86,75.443
-171,-85,54.768
-171,-84,33.403
-171,-83,41.871
-171,-82,41.785
-171,-81,51.402
-171,-80,56.087
-171,-79,57.824
-171,-78,63.249
-171,-77,64.282
-171,-76,59.319
-171,-75,62.765
-171,-74,62.787
-171,-73,73.295
-171,-72,66.751
-171,-71,40.761
-171,-70,32.432
-171,-69,41.486
-171,-68,42.267
-171,-67,45.334
-171,-66,50
-171,-65,50.209
-171,-64,45.677
-171,-63,42.448
